,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2023-11-16,Fruit,Olive,Kilogram,30.0,40.0,35.0,Quintal,3000.0,3000.0,3000.0
2023-11-17,Fruit,Olive,Kilogram,,,,Quintal,,,
2023-11-18,Fruit,Olive,Kilogram,,,,Quintal,,,
2023-11-19,Fruit,Olive,Kilogram,35.0,43.0,39.0,Quintal,3000.0,3000.0,3000.0
2023-11-20,Fruit,Olive,Kilogram,35.0,43.0,39.0,Quintal,3000.0,3000.0,3000.0
2023-11-21,Fruit,Olive,Kilogram,35.0,43.0,39.0,Quintal,3000.0,3000.0,3000.0
2023-11-22,Fruit,Olive,Kilogram,35.0,43.0,39.0,Quintal,3000.0,3000.0,3000.0
2023-11-23,Fruit,Olive,Kilogram,35.0,40.0,37.5,Quintal,2750.0,2750.0,2750.0
2023-11-24,Fruit,Olive,Kilogram,,,,Quintal,,,
2023-11-25,Fruit,Olive,Kilogram,,,,Quintal,,,
2023-11-26,Fruit,Olive,Kilogram,30.0,38.0,34.0,Quintal,2550.0,2550.0,2550.0
2023-11-27,Fruit,Olive,Kilogram,30.0,38.0,34.0,Quintal,2550.0,2550.0,2550.0
2023-11-28,Fruit,Olive,Kilogram,30.0,38.0,34.0,Quintal,2550.0,2550.0,2550.0
